id,device_id,sensor_type,value,timestamp
1,1,gas,1334,2025-11-10 22:16:59.497108 +00:00
4,1,gas,1333,2025-11-10 22:17:59.221707 +00:00
5,1,temperatura,13.2,2025-11-10 22:17:59.264589 +00:00
6,1,umidade,142,2025-11-10 22:18:00.870716 +00:00
7,1,gas,1328,2025-11-10 22:18:59.173430 +00:00
8,1,temperatura,13.2,2025-11-10 22:18:59.319141 +00:00
9,1,gas,1278,2025-11-10 22:19:58.128667 +00:00
10,1,gas,1296,2025-11-10 22:20:59.164495 +00:00
11,1,temperatura,26.7,2025-11-10 22:20:59.298584 +00:00
12,1,umidade,27,2025-11-10 22:21:00.988987 +00:00
13,1,gas,1264,2025-11-10 22:21:59.351457 +00:00
14,1,temperatura,26.9,2025-11-10 22:21:59.383077 +00:00
15,1,umidade,27,2025-11-10 22:22:01.025833 +00:00
16,1,gas,1264,2025-11-10 22:22:59.353048 +00:00
17,1,temperatura,27.1,2025-11-10 22:22:59.392473 +00:00
18,1,umidade,26,2025-11-10 22:23:01.001864 +00:00
19,1,gas,1262,2025-11-10 22:23:57.945189 +00:00
20,1,gas,1255,2025-11-10 22:24:59.193155 +00:00
1220,1,temperatura,31.7,2025-11-11 08:32:47.096776 +00:00
1221,1,umidade,40,2025-11-11 08:32:48.748046 +00:00
1222,1,gas,1095,2025-11-11 08:33:39.275252 +00:00
1223,1,temperatura,31.7,2025-11-11 08:33:47.163604 +00:00
1224,1,umidade,40,2025-11-11 08:33:48.913073 +00:00
1225,1,gas,1099,2025-11-11 08:34:39.184264 +00:00
1226,1,temperatura,31.7,2025-11-11 08:34:47.174965 +00:00
1227,1,umidade,40,2025-11-11 08:34:48.953195 +00:00
1228,1,gas,1097,2025-11-11 08:35:39.189039 +00:00
1229,1,temperatura,31.6,2025-11-11 08:35:47.178621 +00:00
1230,1,umidade,40,2025-11-11 08:35:48.931876 +00:00
1231,1,gas,1098,2025-11-11 08:36:39.195175 +00:00
1232,1,temperatura,31.6,2025-11-11 08:36:47.186590 +00:00
1233,1,umidade,40,2025-11-11 08:36:48.826226 +00:00
1234,1,gas,1091,2025-11-11 08:37:39.208118 +00:00
1235,1,temperatura,31.6,2025-11-11 08:37:47.198873 +00:00
1236,1,umidade,40,2025-11-11 08:37:48.885378 +00:00
1237,1,gas,1101,2025-11-11 08:38:39.266280 +00:00
1238,1,temperatura,31.6,2025-11-11 08:38:47.304873 +00:00
1239,1,umidade,40,2025-11-11 08:38:48.963151 +00:00
1240,1,gas,1094,2025-11-11 08:39:39.212655 +00:00
1241,1,temperatura,31.6,2025-11-11 08:39:47.272939 +00:00
1242,1,umidade,40,2025-11-11 08:39:49.072539 +00:00
1243,1,gas,1104,2025-11-11 08:40:39.203279 +00:00
1244,1,temperatura,31.7,2025-11-11 08:40:47.317129 +00:00
1245,1,umidade,40,2025-11-11 08:40:49.059327 +00:00
1246,1,gas,1101,2025-11-11 08:41:39.236748 +00:00
1247,1,temperatura,31.7,2025-11-11 08:41:47.425915 +00:00
1248,1,umidade,40,2025-11-11 08:41:49.087184 +00:00
1249,1,gas,1095,2025-11-11 08:42:39.241278 +00:00
1250,1,temperatura,31.7,2025-11-11 08:42:47.321528 +00:00
1251,1,umidade,40,2025-11-11 08:42:48.974109 +00:00
1252,1,gas,1104,2025-11-11 08:43:39.196703 +00:00
1253,1,temperatura,31.7,2025-11-11 08:43:47.478396 +00:00
1254,1,umidade,40,2025-11-11 08:43:49.206917 +00:00
1255,1,gas,1093,2025-11-11 08:44:39.255463 +00:00
1256,1,temperatura,31.7,2025-11-11 08:44:47.390725 +00:00
1257,1,umidade,40,2025-11-11 08:44:49.045803 +00:00
1258,1,gas,1097,2025-11-11 08:45:39.220845 +00:00
1259,1,temperatura,31.7,2025-11-11 08:45:47.464263 +00:00
1260,1,umidade,40,2025-11-11 08:45:49.093239 +00:00
1261,1,gas,1099,2025-11-11 08:46:39.268748 +00:00
1262,1,temperatura,31.6,2025-11-11 08:46:47.464551 +00:00
1263,1,umidade,40,2025-11-11 08:46:49.100110 +00:00
1264,1,gas,1092,2025-11-11 08:47:39.277419 +00:00
1489,1,temperatura,31.9,2025-11-11 10:03:50.508251 +00:00
1490,1,umidade,41,2025-11-11 10:03:52.562272 +00:00
1491,1,gas,1101,2025-11-11 10:04:39.519864 +00:00
1492,1,temperatura,31.9,2025-11-11 10:04:49.958885 +00:00
1493,1,umidade,41,2025-11-11 10:04:51.916407 +00:00
1494,1,gas,1101,2025-11-11 10:05:39.669514 +00:00
1495,1,temperatura,31.9,2025-11-11 10:05:49.875739 +00:00
1496,1,umidade,41,2025-11-11 10:05:51.790059 +00:00
1497,1,gas,1099,2025-11-11 10:06:40.269767 +00:00
1498,1,temperatura,31.9,2025-11-11 10:06:50.194378 +00:00
1499,1,umidade,41,2025-11-11 10:06:52.280316 +00:00
1500,1,gas,1105,2025-11-11 10:07:39.839008 +00:00
1501,1,temperatura,31.9,2025-11-11 10:07:50.193009 +00:00
1502,1,umidade,41,2025-11-11 10:07:51.982396 +00:00
1503,1,gas,1091,2025-11-11 10:08:39.548789 +00:00
1504,1,temperatura,31.9,2025-11-11 10:08:49.878808 +00:00
